rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-8-dup-2, liam, colewsn, 55, pedrailp dace, , clayton, 2459, , 19960924, 31, 02 27878532, 6075852, 0
rec-44-dup-2, felcika, rawlings, 1, daly place, , lawon, 2758, qld, 19920911, 26, , 9400371, 6
rec-4-org,   keely, longhurst, 78, schomburgk street, , kallista, 4020, wa, 19741224, 29, 04 58655650, 5393995, 9
rec-21-org,   april, noble, 36, lightfoot crescent, , belconnen, 6169, qld, 19880720, 39, 08 12689465, 1792694, 5
rec-41-org,   joel, wytkin, 71, duigan street, , tomakin, 3000, nsw, 19430613, , 03 90337667, 8340405, 0
rec-28-org,   kiara, , 109, mcnicoll street, grandview, noble park, 2040, qld, 19910114, , 08 50678065, 7662464, 5
rec-27-org,   lachlan, conaghty, , jalanga crescent, , cleveland, , vic, 19190318, , 03 19079155, 3045089, 0
rec-32-org,   jack, weidenhofer, 171, monaro crescent, brentwood vlge, concord west, 2452, nsw, , 22, 08 22983398, 5163952, 7
rec-41-dup-1, joe, wytjinn, 71, duigansrreet, , tomakin, 3000, nsw, 19430632, , 03 90337667, 8349458, 0
rec-0-dup-2, marcis, spicer, 24, chevalier street, ainslie house, mount eliza, 6026, ns, 19922101, 24, 07 01856142, 5017229, 5
rec-22-dup-1, emiily, parr, 211, , wangaya, port macqiatie, , ns, 19521112, 32, , 9066862, 3
rec-16-org,   harrison, bitmead, 26, city walk, , winthrop, 3125, qld, 19611204, 26, 07 84794585, 2310976, 8
rec-46-org,   jessica, green, 14, carter crescent, , limpinwood, 5045, sa, 19481129, , 07 16564029, 9284832, 1
rec-2-org,   isabella, laney, 290, wilkins street, bindaree, coolbellup, 3121, nsw, 19010126, 29, 03 35009842, 1913046, 0
rec-1-org,   yasmin, white, 1, pelham close, , mitcham, 3195, wa, 19240327, 24, 07 62810848, 6480803, 1
rec-7-org,   daniel, dennington, 905, currong street, lee valley, campbelltown, 3199, vic, 19300730, 10, 08 44451282, 2361806, 8
rec-3-org,   gabrielle, weller, 68, riordan street, acton road, wyongah, 3610, nsw, 19000601, 34, 08 38990261, 2739734, 1
rec-24-org,   braiden, filipovic, 25, bertel crescent, , jolimont, 2615, qld, 19370805, 41, 07 92767123, 3920091, 0
rec-12-org,   sean, brooker, 23, haynes place, , launceston south, 3103, nsw, 19970110, 37, , 6086582, 9
rec-45-org,   joshua, plevin, 52, tenison-woods circuit, , st albans, 6054, vic, 19701108, 27, 04 28543039, 4288327, 7
rec-23-org,   lucy, boyle, 13, mackellar crescent, , new town, 0830, sa, 19070210, , 02 42232340, 9684855, 5
rec-43-org,   james, provan, 2, mcmaster street, ferndale, glenmore park, 3000, nsw, 19860720, , 02 56502075, 2642387, 9
rec-15-org,   nicholas, dent, 17, hilton close, coomerang, ryde, 2036, vic, , 38, 07 13530069, 6160589, 6
rec-0-dup-1, marcd, spiqcer, 23, chevalier street, , mount lia, 6066, nda, 19921901, 23, 07 01856142, 5017229, 5
rec-40-org,   brigette, viale, 65, don place, , crestmead, 2607, sa, 19780304, 34, 04 63379988, 1748721, 8
rec-0-dup-3, marcjs, spiyne, 23, chevalierwsyreet, ainslied house, mount eoliza, 6060, nsw, 19921201, 23, 07 01586142, 5017229, 5
rec-34-org,   taylah, maliel, 521, lockyer street, , yungaburra, 2035, vic, 19360921, 26, 07 97778041, 2896080, 9
rec-41-dup-2, wytkin, joao, 205, duigan street, , tomakkn, 3000, nsw, 19438413, , 03 90337667, 8340405, 0
